2016-09-28 20:55:51,769 - mq-monitor-logger - INFO - 2016-09-28 20:55:51的MQ队列情况如下(表名,消息数量(大概多久同步完(s)),消费者数量,进队数量,出队数量):
2016-09-28 20:55:51,773 - mq-monitor-logger - INFO - t_rut_path_detail,19(所需同步时间:监控刚启动，未计算所需同步时间),1,6925323,6932599
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_bse_org_sales_department,0(所需同步时间:无延迟),1,23913,24711
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_dlv_diff_detail,0(所需同步时间:无延迟),1,6478,6484
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tfr_stockcleardiffer_report_org,0(所需同步时间:无延迟),1,1203,1307
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tfr_sortcab_package_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tfr_tray_binding_task_detail_org,77(所需同步时间:监控刚启动，未计算所需同步时间),1,28664136,31321389
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tfr_inventory_out_list_org,7(所需同步时间:监控刚启动，未计算所需同步时间),1,6488907,6557356
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tfr_handoverbill_costinfo_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,774 - mq-monitor-logger - INFO - t_tak_orderinfo,0(所需同步时间:无延迟),1,2512623,2672893
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tfr_supply_log_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tfr_inventory_bill_org,5(所需同步时间:监控刚启动，未计算所需同步时间),1,18014884,18211884
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_bse_express_delivery_regions,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tfr_inventory_in_list_org,0(所需同步时间:无延迟),1,6449383,6521668
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tak_waybill_changeitem_list_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tak_waybill_mgmtinfo,1(所需同步时间:监控刚启动，未计算所需同步时间),1,5085990,5093655
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tfr_unload_task_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,838416,966330
2016-09-28 20:55:51,775 - mq-monitor-logger - INFO - t_tfr_checktask_detail_org,12(所需同步时间:监控刚启动，未计算所需同步时间),1,2042233,2155486
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tfr_package_detail_org,3(所需同步时间:监控刚启动，未计算所需同步时间),1,940933,960656
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_rut_transport_path_log,0(所需同步时间:无延迟),1,1833,1930
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tfr_load_task_detail_org,14(所需同步时间:监控刚启动，未计算所需同步时间),1,4749599,4878344
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tak_masterslave_relationship,0(所需同步时间:无延迟),1,15564,15564
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tfr_stockcleartask_detail_org,0(所需同步时间:无延迟),1,7516489,7748435
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_bse_customer,78(所需同步时间:监控刚启动，未计算所需同步时间),1,5380885,5478968
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tfr_stocktakingdiff_info_org,0(所需同步时间:无延迟),1,219,253
2016-09-28 20:55:51,776 - mq-monitor-logger - INFO - t_tfr_unload_waybill_detail_org,8(所需同步时间:监控刚启动，未计算所需同步时间),1,2971404,3062977
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_tfr_stockclear_operator_org,0(所需同步时间:无延迟),1,9865,10864
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_tfr_tray_binding_task_org,6(所需同步时间:监控刚启动，未计算所需同步时间),1,4587361,4927276
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_tfr_unload_diffcheck_report_org,0(所需同步时间:无延迟),1,104733,109607
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_bse_exdual_dept_mapping,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_bse_express_emp_district,0(所需同步时间:无延迟),1,8055,8055
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_rut_line_segment_major,0(所需同步时间:无延迟),1,3242,3292
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_tfr_limitition_term_org,0(所需同步时间:无延迟),1,4,4
2016-09-28 20:55:51,777 - mq-monitor-logger - INFO - t_rut_change_path_event,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_bse_emp_yhed,0(所需同步时间:无延迟),1,8156,8156
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_tfr_inventory_org,5(所需同步时间:监控刚启动，未计算所需同步时间),1,16460948,16631726
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_tfr_stocktask_result_org,0(所需同步时间:无延迟),1,95495,97982
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_prc_waybill_changeinfo,9(所需同步时间:监控刚启动，未计算所需同步时间),1,2493545,2496266
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_tfr_uncage_info_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_tfr_package_path_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,1305192,1512546
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_bse_express_oubr_plan_detail,0(所需同步时间:无延迟),1,72,72
2016-09-28 20:55:51,778 - mq-monitor-logger - INFO - t_bse_cus_preferential,0(所需同步时间:无延迟),1,113494,113494
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_rut_transport_path,8(所需同步时间:监控刚启动，未计算所需同步时间),1,2577932,2580854
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_prc_waybill_other_charge,0(所需同步时间:无延迟),1,811,991
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_tfr_exchage_record_org,0(所需同步时间:无延迟),1,61484,61724
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_tfr_packagelabel_log_org,0(所需同步时间:无延迟),1,92743,108956
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_bse_res_outsourcetruck,0(所需同步时间:无延迟),1,33495,34206
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_tfr_unload_task_detail_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,226275,245954
2016-09-28 20:55:51,779 - mq-monitor-logger - INFO - t_tfr_checktask_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,608627,705659
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tfr_tray_offline_scan_task_org,0(所需同步时间:无延迟),1,56536,71231
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tfr_load_task_org,0(所需同步时间:无延迟),1,1933884,2195967
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_bse_customer_profession,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_bse_pos_deliverymap,0(所需同步时间:无延迟),1,1095,1095
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tfr_uncage_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tak_waybillrfc_batchchange,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tfr_supplycode_task_org,25(所需同步时间:监控刚启动，未计算所需同步时间),1,4435503,4484745
2016-09-28 20:55:51,780 - mq-monitor-logger - INFO - t_tfr_stockcleardiffer_report_detail_org,0(所需同步时间:无延迟),1,285121,291413
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_os_waybill_track_org,0(所需同步时间:无延迟),1,524269,524539
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_damagedwaybill_info_org,0(所需同步时间:无延迟),1,307,307
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_bse_pro_masterinfo,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_differ_report_qms_log_org,0(所需同步时间:无延迟),1,6158299,6180995
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tak_return_goods_major,0(所需同步时间:无延迟),1,157648,157654
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_os_paternity_print_info_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_waybill_exchage_rel_org,0(所需同步时间:无延迟),1,60996,61219
2016-09-28 20:55:51,781 - mq-monitor-logger - INFO - t_tfr_meter_bubble_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_dlv_signoff_payment_info,3(所需同步时间:监控刚启动，未计算所需同步时间),1,983814,986388
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_org_employee,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_tfr_loadhandoverbill_org,4(所需同步时间:监控刚启动，未计算所需同步时间),1,1610674,1758027
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_tfr_loadhandoverbill_trucktaskdetail_rel_org,0(所需同步时间:无延迟),1,618738,677593
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_prc_exception_log,14(所需同步时间:监控刚启动，未计算所需同步时间),1,2631855,2634747
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_tfr_stocktakingdiff_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_bse_bank_district,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,782 - mq-monitor-logger - INFO - t_bse_express_outbranch_plan,0(所需同步时间:无延迟),1,46,46
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_bse_express_bigzone,0(所需同步时间:无延迟),1,1174,1174
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_tfr_os_loadtask_detail_org,0(所需同步时间:无延迟),1,53305,53486
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_bse_res_selftruck,0(所需同步时间:无延迟),1,1625,1627
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_dlv_trajectory_record,4(所需同步时间:监控刚启动，未计算所需同步时间),1,9749036,9777306
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_tfr_supplycode_back_org,0(所需同步时间:无延迟),1,5759,5776
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_tfr_traceimport_error_info_org,0(所需同步时间:无延迟),1,14428,14428
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_bse_bill_rules,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,783 - mq-monitor-logger - INFO - t_tfr_ptploadhandoverbill_org,0(所需同步时间:无延迟),1,21006,23238
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tfr_checkuser_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,353033,411103
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_bse_express_zz_sales_dept,0(所需同步时间:无延迟),1,1609,1609
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tfr_cage_info_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tfr_exception_goods_info_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tak_waybill_baseinfo,46798(所需同步时间:监控刚启动，未计算所需同步时间),1,2380530,2336393
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tak_waybill_alternative_relationship,0(所需同步时间:无延迟),1,6406,7260
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_tfr_less_report_org,0(所需同步时间:无延迟),1,724277,731630
2016-09-28 20:55:51,784 - mq-monitor-logger - INFO - t_bse_org_company,0(所需同步时间:无延迟),1,95948,96912
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_tfr_os_loadtask_org,0(所需同步时间:无延迟),1,9749,10634
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_tfr_os_track_optrecord_org,0(所需同步时间:无延迟),1,537,572
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_bse_cus_account,0(所需同步时间:无延迟),1,42529,42529
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_prc_waybill_discount_detail,0(所需同步时间:无延迟),1,0,0
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_tfr_stockclear_task_org,0(所需同步时间:无延迟),1,7312,8259
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_tak_waybill_mgmtinfo_bi,1(所需同步时间:监控刚启动，未计算所需同步时间),1,982507,982506
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_prc_os_charges_info,0(所需同步时间:无延迟),1,21501,21511
2016-09-28 20:55:51,785 - mq-monitor-logger - INFO - t_bse_bank,0(所需同步时间:无延迟),1,28,28
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_bse_cus_address,0(所需同步时间:无延迟),1,17370,17370
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_tfr_express_arrival_org,2(所需同步时间:监控刚启动，未计算所需同步时间),1,2525176,2559137
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_dlv_trf_os_signoff_info,0(所需同步时间:无延迟),1,16339,16365
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_tfr_package_info_org,0(所需同步时间:无延迟),1,2261013,2486071
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_tfr_unload_diffcheck_report_detail_org,0(所需同步时间:无延迟),1,1674434,1694207
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_tfr_truck_task_org,1(所需同步时间:监控刚启动，未计算所需同步时间),1,1392453,1515961
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_dlv_delivertask_detail_org,9(所需同步时间:监控刚启动，未计算所需同步时间),1,277056976,277168973
2016-09-28 20:55:51,786 - mq-monitor-logger - INFO - t_tfr_supplycode_log_org,7(所需同步时间:监控刚启动，未计算所需同步时间),1,1344547,1360243
2016-09-28 20:55:51,787 - mq-monitor-logger - INFO - t_tak_pickup_info,2(所需同步时间:监控刚启动，未计算所需同步时间),1,1082916,1084790
2016-09-28 20:55:51,787 - mq-monitor-logger - INFO - t_tak_waybill_changerecord,0(所需同步时间:无延迟),1,51062,51726
2016-09-28 20:55:51,787 - mq-monitor-logger - INFO - t_bse_cus_bargain,0(所需同步时间:无延迟),1,60235,60235
2016-09-28 20:55:51,787 - mq-monitor-logger - INFO - t_tak_waybill_log,7(所需同步时间:监控刚启动，未计算所需同步时间),1,3117324,3275649
2016-09-28 20:55:51,787 - mq-monitor-logger - INFO - t_rut_change_path_detail,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:41,887 - mq-monitor-logger - INFO - 



2016-09-28 21:00:51,953 - mq-monitor-logger - INFO - 2016-09-28 21:00:51的MQ队列情况如下(表名,消息数量(大概多久同步完(s)),消费者数量,进队数量,出队数量):
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_tfr_outwardhandover_bill_org,0(所需同步时间:无延迟),1,3282,3346
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_dlv_waybill_signoff_change,0(所需同步时间:无延迟),1,5378,5411
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_tfr_job_business_log,12(所需同步时间:3.7s),1,8246684,8427931
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_tfr_unloadcmd_assign_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_dlv_diff_org,0(所需同步时间:无延迟),1,1289,1322
2016-09-28 21:00:51,954 - mq-monitor-logger - INFO - t_tfr_truck_task_detail_org,1(所需同步时间:0.94s),1,1538759,1680103
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_bse_customer_degree,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_bse_express_autocomple,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_bse_cus_bargain_app_org,0(所需同步时间:无延迟),1,111471,111471
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_tfr_cargo_sort_org,8(所需同步时间:2.3s),1,3571985,3613071
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_dlv_delivertask_org,1(所需同步时间:0.44s),1,8232258,9086297
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_tfr_outsourcebill_org,0(所需同步时间:无延迟),1,40291,40452
2016-09-28 21:00:51,955 - mq-monitor-logger - INFO - t_tfr_unloadcmd_assign_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_bse_cus_contact,35(所需同步时间:6.06s),1,4011944,4011909
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_bse_cus_contact_address,0(所需同步时间:无延迟),1,21270,21270
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_dlv_find_lack_goods,0(所需同步时间:无延迟),1,6108,6124
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_bse_par_agencybranch,0(所需同步时间:无延迟),1,29,29
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_tak_pickup_fillintask,1(所需同步时间:0.28s),1,2118152,2120492
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_dictionary_data,0(所需同步时间:无延迟),1,115237,118189
2016-09-28 21:00:51,956 - mq-monitor-logger - INFO - t_tfr_loadhandoverbill_loadtask_rel_org,0(所需同步时间:无延迟),1,439317,488209
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_tfr_loader_participation_org,1(所需同步时间:0.49s),1,3675750,4219106
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_dlv_waybill_signoff_result,3(所需同步时间:3.27s),1,1001326,1003935
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_bse_express_part_sales_dept,0(所需同步时间:无延迟),1,1428,1443
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_org_department,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_tfr_job_business,5(所需同步时间:1.36s),1,8621433,8803121
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_tfr_cage_detail_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_tak_waybill_disusingrecord_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,957 - mq-monitor-logger - INFO - t_prc_waybill_charge_detail,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_rut_path_detail,9(所需同步时间:1.01s),1,6927998,6935284
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_bse_org_sales_department,0(所需同步时间:无延迟),1,23913,24711
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_dlv_diff_detail,0(所需同步时间:无延迟),1,6478,6484
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_tfr_stockcleardiffer_report_org,1(所需同步时间:300.0s),1,1205,1308
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_tfr_sortcab_package_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_tfr_tray_binding_task_detail_org,32(所需同步时间:1.18s),1,28672196,31329494
2016-09-28 21:00:51,958 - mq-monitor-logger - INFO - t_tfr_inventory_out_list_org,8(所需同步时间:1.38s),1,6490642,6559090
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tfr_handoverbill_costinfo_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tak_orderinfo,0(所需同步时间:无延迟),1,2512638,2672908
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tfr_supply_log_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tfr_inventory_bill_org,0(所需同步时间:无延迟),1,18020404,18217409
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_bse_express_delivery_regions,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tfr_inventory_in_list_org,18(所需同步时间:2.95s),1,6451234,6523501
2016-09-28 21:00:51,959 - mq-monitor-logger - INFO - t_tak_waybill_changeitem_list_org,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tak_waybill_mgmtinfo,6(所需同步时间:0.8s),1,5088240,5095900
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tfr_unload_task_org,1(所需同步时间:1.16s),1,838674,966588
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tfr_checktask_detail_org,13(所需同步时间:2.23s),1,2043983,2157235
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tfr_package_detail_org,3(所需同步时间:5.62s),1,941093,960816
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_rut_transport_path_log,0(所需同步时间:无延迟),1,1833,1930
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tfr_load_task_detail_org,16(所需同步时间:3.62s),1,4750926,4879669
2016-09-28 21:00:51,960 - mq-monitor-logger - INFO - t_tak_masterslave_relationship,0(所需同步时间:无延迟),1,15574,15574
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_stockcleartask_detail_org,0(所需同步时间:无延迟),1,7516504,7748450
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_bse_customer,35(所需同步时间:6.05s),1,5382577,5480703
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_stocktakingdiff_info_org,0(所需同步时间:无延迟),1,219,253
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_unload_waybill_detail_org,2(所需同步时间:0.51s),1,2972571,3064150
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_stockclear_operator_org,0(所需同步时间:无延迟),1,9865,10864
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_tray_binding_task_org,10(所需同步时间:3.21s),1,4588300,4928211
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_tfr_unload_diffcheck_report_org,0(所需同步时间:无延迟),1,104746,109620
2016-09-28 21:00:51,961 - mq-monitor-logger - INFO - t_bse_exdual_dept_mapping,0(所需同步时间:无延迟),1,0,0
2016-09-28 21:00:51,962 - mq-monitor-logger - INFO - t_bse_express_emp_district,0(所需同步时间:无延迟),1,8056,8056
2016-09-28 21:00:51,962 - mq-monitor-logger - INFO - t_rut_line_segment_major,0(所需同步时间:无延迟),1,3246,3296
2016-09-28 21:00:51,962 - mq-monitor-logger - INFO - t_tfr_limitition_term_org,0(所需同步时间:无延迟),1,4,4
2016-09-28 21:00:51,962 - mq-monitor-logger - INFO - t_rut_change_path_event,0(所需同步时间:无延迟),1,0,0
